Equipo,Posición,PTS,PJ,PG,PE,PP,GF,GC,DG
Universidad Católica,1,53,24,16,5,3,44,14,30
Colo-Colo,2,40,24,11,7,6,37,30,7
Palestino,3,38,24,10,8,6,42,31,11
Unión La Calera,4,37,25,9,10,6,29,23,6
Coquimbo Unido,5,34,24,8,10,6,29,27,2
Huachipato,6,34,24,9,7,8,31,30,1
Audax Italiano,7,34,24,10,4,10,35,35,0
O'Higgins,8,34,24,10,4,10,34,35,-1
Unión Española,9,34,25,10,4,11,32,35,-3
Cobresal,10,34,25,10,4,11,31,39,-8
Everton,11,29,24,7,8,9,21,24,-3
Antofagasta,12,27,24,7,6,11,34,35,-1
Curicó Unido,13,26,24,6,8,10,36,43,-7
Iquique,14,25,25,6,8,12,24,40,-16
Universidad de Chile,15,24,24,4,12,8,32,38,-6
Universidad de Concepción,16,23,24,5,8,11,23,35,-12
