Equipo,Posición,PJ,Puntos,DG,GF,GC
Universidad Católica,1,32,61,29.0,63.0,34.0
Unión La Calera,2,32,56,19.0,57.0,38.0
Unión Española,3,31,51,8.0,53.0,45.0
Palestino,4,31,47,3.0,44.0,41.0
Antofagasta,5,32,45,2.0,41.0,39.0
O'Higgins,6,31,43,2.0,39.0,37.0
Huachipato,7,31,43,0.0,41.0,41.0
Santiago Wanderers,8,32,43,-9.0,41.0,50.0
Curicó Unido,9,32,42,-13.0,37.0,50.0
Universidad de Chile,10,31,41,8.0,42.0,34.0
Cobresal,11,31,40,1.0,39.0,38.0
Everton,12,31,40,0.0,35.0,35.0
La Serena,13,32,38,-5.0,33.0,38.0
Universidad de Concepción,14,31,38,-6.0,36.0,42.0
Audax Italiano,15,31,36,-5.0,44.0,49.0
Colo-Colo,16,31,36,-10.0,32.0,42.0
Iquique,17,31,33,-10.0,35.0,45.0
Coquimbo Unido,18,31,32,-14.0,27.0,41.0
