,1,2,3,Prob Desc
Universidad de Concepción,0.004,0.6762,0.1646,0.8448
Iquique,0.2626,0.3234,0.2572,0.8432000000000001
Coquimbo Unido,0.4126,0.0,0.1118,0.5244
Colo-Colo,0.2878,0.0,0.175,0.4628
Universidad de Chile,0.0,0.0004,0.1248,0.1252
Audax Italiano,0.0298,0.0,0.0682,0.098
La Serena,0.0026,0.0,0.0438,0.0464
Curicó Unido,0.0,0.0,0.0302,0.0302
Cobresal,0.0006,0.0,0.0118,0.0124
Everton,0.0,0.0,0.0058,0.0058
Antofagasta,0.0,0.0,0.0036,0.0036
Santiago Wanderers,0.0,0.0,0.0018,0.0018
O'Higgins,0.0,0.0,0.0014,0.0014
