,n_sim,PenPon,AntAbs,Des1,Des2,PenAbs
0,4,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1,6,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
2,10,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
3,12,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
4,13,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
5,15,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
6,16,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
7,17,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
8,20,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
9,23,Iquique,Iquique,Colo-Colo,Universidad de Concepción,Universidad de Concepción
10,28,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
11,30,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
12,32,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
13,38,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
14,40,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
15,42,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
16,43,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
17,48,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
18,52,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
19,53,Universidad de Concepción,Cobresal,Colo-Colo,Iquique,Iquique
20,59,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
21,61,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
22,63,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
23,69,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
24,70,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
25,73,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
26,74,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
27,77,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
28,78,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
29,86,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
30,87,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
31,90,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
32,91,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
33,93,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
34,95,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
35,101,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
36,102,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
37,103,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
38,106,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
