,n_sim,Equipo,Desc,Motivo
0,1,Coquimbo Unido,1,Último Absoluta
1,1,Universidad de Concepción,2,Último Ponderada
2,1,Iquique,3,Partido Pen Abs vs Pen Pon
3,2,Coquimbo Unido,1,Último Absoluta
4,2,Iquique,2,Último Ponderada
5,2,Colo-Colo,3,Partido Ant Abs vs Pen Pon
6,3,Coquimbo Unido,1,Último Absoluta
7,3,Iquique,2,Último Ponderada
8,3,Colo-Colo,3,Partido Ant Abs vs Pen Pon
9,4,Coquimbo Unido,1,Último Absoluta
10,4,Iquique,2,Último Ponderada
11,4,Colo-Colo,3,Partido Ant Abs vs Pen Pon
12,5,Coquimbo Unido,1,Último Absoluta
13,5,Universidad de Concepción,2,Último Ponderada
14,5,Iquique,3,Partido Pen Abs vs Pen Pon
15,6,Coquimbo Unido,1,Último Absoluta
16,6,Universidad de Concepción,2,Último Ponderada
17,6,Iquique,3,Partido Pen Abs vs Pen Pon
18,7,Iquique,1,Último Absoluta
19,7,Universidad de Concepción,2,Penúltimo Ponderada
20,7,Curicó Unido,3,Partido Pen Abs vs Ant Pon
21,8,Coquimbo Unido,1,Último Absoluta
22,8,Iquique,2,Último Ponderada
23,8,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
24,9,Coquimbo Unido,1,Último Absoluta
25,9,Iquique,2,Último Ponderada
26,9,Colo-Colo,3,Partido Ant Abs vs Pen Pon
27,10,Coquimbo Unido,1,Último Absoluta
28,10,Iquique,2,Último Ponderada
29,10,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
30,11,Coquimbo Unido,1,Último Absoluta
31,11,Universidad de Concepción,2,Último Ponderada
32,11,Iquique,3,Partido Pen Abs vs Pen Pon
33,12,Coquimbo Unido,1,Último Absoluta
34,12,Iquique,2,Último Ponderada
35,12,Colo-Colo,3,Partido Ant Abs vs Pen Pon
36,13,Coquimbo Unido,1,Último Absoluta
37,13,Universidad de Concepción,2,Último Ponderada
38,13,Iquique,3,Partido Pen Abs vs Pen Pon
39,14,Coquimbo Unido,1,Último Absoluta
40,14,Iquique,2,Último Ponderada
41,14,Colo-Colo,3,Partido Ant Abs vs Pen Pon
42,15,Coquimbo Unido,1,Último Absoluta
43,15,Iquique,2,Último Ponderada
44,15,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
45,16,Coquimbo Unido,1,Último Absoluta
46,16,Iquique,2,Último Ponderada
47,16,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
48,17,Coquimbo Unido,1,Último Absoluta
49,17,Universidad de Concepción,2,Último Ponderada
50,17,Iquique,3,Partido Pen Abs vs Pen Pon
51,18,Coquimbo Unido,1,Último Absoluta
52,18,Iquique,2,Último Ponderada
53,18,Colo-Colo,3,Partido Ant Abs vs Pen Pon
54,19,Coquimbo Unido,1,Último Absoluta
55,19,Universidad de Concepción,2,Último Ponderada
56,19,Iquique,3,Partido Pen Abs vs Pen Pon
57,20,Coquimbo Unido,1,Último Absoluta
58,20,Universidad de Concepción,2,Último Ponderada
59,20,Iquique,3,Partido Pen Abs vs Pen Pon
60,21,Coquimbo Unido,1,Último Absoluta
61,21,Universidad de Concepción,2,Último Ponderada
62,21,Iquique,3,Partido Pen Abs vs Pen Pon
63,22,Coquimbo Unido,1,Último Absoluta
64,22,Iquique,2,Último Ponderada
65,22,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
