,Equipo,Tabla,n_sim,Posición
0,Everton,Absoluta,1,6
1,Everton,Ponderada,1,13
2,O'Higgins,Absoluta,1,8
3,O'Higgins,Ponderada,1,7
4,Antofagasta,Absoluta,1,7
5,Antofagasta,Ponderada,1,14
6,Audax Italiano,Absoluta,1,14
7,Audax Italiano,Ponderada,1,11
8,Santiago Wanderers,Absoluta,1,5
9,Santiago Wanderers,Ponderada,1,4
10,Huachipato,Absoluta,1,4
11,Huachipato,Ponderada,1,6
12,Unión Española,Absoluta,1,3
13,Unión Española,Ponderada,1,3
14,Curicó Unido,Absoluta,1,11
15,Curicó Unido,Ponderada,1,15
16,Colo-Colo,Absoluta,1,18
17,Colo-Colo,Ponderada,1,8
18,Unión La Calera,Absoluta,1,2
19,Unión La Calera,Ponderada,1,2
20,Universidad de Concepción,Absoluta,1,15
21,Universidad de Concepción,Ponderada,1,18
22,Palestino,Absoluta,1,9
23,Palestino,Ponderada,1,5
24,Universidad de Chile,Absoluta,1,12
25,Universidad de Chile,Ponderada,1,16
26,Cobresal,Absoluta,1,10
27,Cobresal,Ponderada,1,12
28,Universidad Católica,Absoluta,1,1
29,Universidad Católica,Ponderada,1,1
30,Iquique,Absoluta,1,17
31,Iquique,Ponderada,1,17
32,La Serena,Absoluta,1,13
33,La Serena,Ponderada,1,9
34,Coquimbo Unido,Absoluta,1,16
35,Coquimbo Unido,Ponderada,1,10
36,Everton,Absoluta,2,12
37,Everton,Ponderada,2,14
38,O'Higgins,Absoluta,2,11
39,O'Higgins,Ponderada,2,9
40,Antofagasta,Absoluta,2,4
41,Antofagasta,Ponderada,2,12
42,Audax Italiano,Absoluta,2,8
43,Audax Italiano,Ponderada,2,6
44,Santiago Wanderers,Absoluta,2,10
45,Santiago Wanderers,Ponderada,2,7
46,Huachipato,Absoluta,2,9
47,Huachipato,Ponderada,2,8
48,Unión Española,Absoluta,2,3
49,Unión Española,Ponderada,2,3
50,Curicó Unido,Absoluta,2,5
51,Curicó Unido,Ponderada,2,11
52,Colo-Colo,Absoluta,2,15
53,Colo-Colo,Ponderada,2,5
54,Unión La Calera,Absoluta,2,2
55,Unión La Calera,Ponderada,2,2
56,Universidad de Concepción,Absoluta,2,14
57,Universidad de Concepción,Ponderada,2,18
58,Palestino,Absoluta,2,6
59,Palestino,Ponderada,2,4
60,Universidad de Chile,Absoluta,2,7
61,Universidad de Chile,Ponderada,2,15
62,Cobresal,Absoluta,2,13
63,Cobresal,Ponderada,2,13
64,Universidad Católica,Absoluta,2,1
65,Universidad Católica,Ponderada,2,1
66,Iquique,Absoluta,2,16
67,Iquique,Ponderada,2,17
68,La Serena,Absoluta,2,18
69,La Serena,Ponderada,2,16
70,Coquimbo Unido,Absoluta,2,17
71,Coquimbo Unido,Ponderada,2,10
72,Everton,Absoluta,3,9
73,Everton,Ponderada,3,13
74,O'Higgins,Absoluta,3,14
75,O'Higgins,Ponderada,3,11
76,Antofagasta,Absoluta,3,8
77,Antofagasta,Ponderada,3,15
78,Audax Italiano,Absoluta,3,17
79,Audax Italiano,Ponderada,3,12
80,Santiago Wanderers,Absoluta,3,13
81,Santiago Wanderers,Ponderada,3,9
82,Huachipato,Absoluta,3,5
83,Huachipato,Ponderada,3,7
84,Unión Española,Absoluta,3,3
85,Unión Española,Ponderada,3,3
86,Curicó Unido,Absoluta,3,10
87,Curicó Unido,Ponderada,3,14
88,Colo-Colo,Absoluta,3,16
89,Colo-Colo,Ponderada,3,5
90,Unión La Calera,Absoluta,3,2
91,Unión La Calera,Ponderada,3,2
92,Universidad de Concepción,Absoluta,3,11
93,Universidad de Concepción,Ponderada,3,18
94,Palestino,Absoluta,3,7
95,Palestino,Ponderada,3,4
96,Universidad de Chile,Absoluta,3,6
97,Universidad de Chile,Ponderada,3,16
98,Cobresal,Absoluta,3,4
99,Cobresal,Ponderada,3,8
100,Universidad Católica,Absoluta,3,1
101,Universidad Católica,Ponderada,3,1
102,Iquique,Absoluta,3,15
103,Iquique,Ponderada,3,17
104,La Serena,Absoluta,3,12
105,La Serena,Ponderada,3,6
106,Coquimbo Unido,Absoluta,3,18
107,Coquimbo Unido,Ponderada,3,10
108,Everton,Absoluta,4,12
109,Everton,Ponderada,4,14
110,O'Higgins,Absoluta,4,8
111,O'Higgins,Ponderada,4,5
112,Antofagasta,Absoluta,4,7
113,Antofagasta,Ponderada,4,15
114,Audax Italiano,Absoluta,4,16
115,Audax Italiano,Ponderada,4,12
116,Santiago Wanderers,Absoluta,4,13
117,Santiago Wanderers,Ponderada,4,8
118,Huachipato,Absoluta,4,6
119,Huachipato,Ponderada,4,6
120,Unión Española,Absoluta,4,3
121,Unión Española,Ponderada,4,4
122,Curicó Unido,Absoluta,4,5
123,Curicó Unido,Ponderada,4,11
124,Colo-Colo,Absoluta,4,17
125,Colo-Colo,Ponderada,4,7
126,Unión La Calera,Absoluta,4,2
127,Unión La Calera,Ponderada,4,2
128,Universidad de Concepción,Absoluta,4,14
129,Universidad de Concepción,Ponderada,4,18
130,Palestino,Absoluta,4,4
131,Palestino,Ponderada,4,3
132,Universidad de Chile,Absoluta,4,10
133,Universidad de Chile,Ponderada,4,17
134,Cobresal,Absoluta,4,11
135,Cobresal,Ponderada,4,10
136,Universidad Católica,Absoluta,4,1
137,Universidad Católica,Ponderada,4,1
138,Iquique,Absoluta,4,9
139,Iquique,Ponderada,4,16
140,La Serena,Absoluta,4,15
141,La Serena,Ponderada,4,9
142,Coquimbo Unido,Absoluta,4,18
143,Coquimbo Unido,Ponderada,4,13
144,Everton,Absoluta,5,9
145,Everton,Ponderada,5,14
146,O'Higgins,Absoluta,5,10
147,O'Higgins,Ponderada,5,7
148,Antofagasta,Absoluta,5,7
149,Antofagasta,Ponderada,5,15
150,Audax Italiano,Absoluta,5,15
151,Audax Italiano,Ponderada,5,12
152,Santiago Wanderers,Absoluta,5,8
153,Santiago Wanderers,Ponderada,5,5
154,Huachipato,Absoluta,5,11
155,Huachipato,Ponderada,5,8
156,Unión Española,Absoluta,5,3
157,Unión Española,Ponderada,5,4
158,Curicó Unido,Absoluta,5,6
159,Curicó Unido,Ponderada,5,11
160,Colo-Colo,Absoluta,5,16
161,Colo-Colo,Ponderada,5,6
162,Unión La Calera,Absoluta,5,2
163,Unión La Calera,Ponderada,5,2
164,Universidad de Concepción,Absoluta,5,12
165,Universidad de Concepción,Ponderada,5,17
166,Palestino,Absoluta,5,4
167,Palestino,Ponderada,5,3
168,Universidad de Chile,Absoluta,5,5
169,Universidad de Chile,Ponderada,5,16
170,Cobresal,Absoluta,5,13
171,Cobresal,Ponderada,5,13
172,Universidad Católica,Absoluta,5,1
173,Universidad Católica,Ponderada,5,1
174,Iquique,Absoluta,5,18
175,Iquique,Ponderada,5,18
176,La Serena,Absoluta,5,14
177,La Serena,Ponderada,5,10
178,Coquimbo Unido,Absoluta,5,17
179,Coquimbo Unido,Ponderada,5,9
180,Everton,Absoluta,6,6
181,Everton,Ponderada,6,11
182,O'Higgins,Absoluta,6,10
183,O'Higgins,Ponderada,6,8
184,Antofagasta,Absoluta,6,8
185,Antofagasta,Ponderada,6,15
186,Audax Italiano,Absoluta,6,15
187,Audax Italiano,Ponderada,6,10
188,Santiago Wanderers,Absoluta,6,14
189,Santiago Wanderers,Ponderada,6,12
190,Huachipato,Absoluta,6,11
191,Huachipato,Ponderada,6,9
192,Unión Española,Absoluta,6,3
193,Unión Española,Ponderada,6,4
194,Curicó Unido,Absoluta,6,7
195,Curicó Unido,Ponderada,6,13
196,Colo-Colo,Absoluta,6,17
197,Colo-Colo,Ponderada,6,6
198,Unión La Calera,Absoluta,6,2
199,Unión La Calera,Ponderada,6,2
200,Universidad de Concepción,Absoluta,6,9
201,Universidad de Concepción,Ponderada,6,17
202,Palestino,Absoluta,6,4
203,Palestino,Ponderada,6,3
204,Universidad de Chile,Absoluta,6,5
205,Universidad de Chile,Ponderada,6,16
206,Cobresal,Absoluta,6,13
207,Cobresal,Ponderada,6,14
208,Universidad Católica,Absoluta,6,1
209,Universidad Católica,Ponderada,6,1
210,Iquique,Absoluta,6,18
211,Iquique,Ponderada,6,18
212,La Serena,Absoluta,6,12
213,La Serena,Ponderada,6,5
214,Coquimbo Unido,Absoluta,6,16
215,Coquimbo Unido,Ponderada,6,7
216,Everton,Absoluta,7,8
217,Everton,Ponderada,7,13
218,O'Higgins,Absoluta,7,6
219,O'Higgins,Ponderada,7,6
220,Antofagasta,Absoluta,7,9
221,Antofagasta,Ponderada,7,15
222,Audax Italiano,Absoluta,7,15
223,Audax Italiano,Ponderada,7,11
224,Santiago Wanderers,Absoluta,7,12
225,Santiago Wanderers,Ponderada,7,10
226,Huachipato,Absoluta,7,7
227,Huachipato,Ponderada,7,7
228,Unión Española,Absoluta,7,3
229,Unión Española,Ponderada,7,4
230,Curicó Unido,Absoluta,7,4
231,Curicó Unido,Ponderada,7,9
232,Colo-Colo,Absoluta,7,17
233,Colo-Colo,Ponderada,7,5
234,Unión La Calera,Absoluta,7,2
235,Unión La Calera,Ponderada,7,2
236,Universidad de Concepción,Absoluta,7,13
237,Universidad de Concepción,Ponderada,7,18
238,Palestino,Absoluta,7,5
239,Palestino,Ponderada,7,3
240,Universidad de Chile,Absoluta,7,10
241,Universidad de Chile,Ponderada,7,16
242,Cobresal,Absoluta,7,11
243,Cobresal,Ponderada,7,12
244,Universidad Católica,Absoluta,7,1
245,Universidad Católica,Ponderada,7,1
246,Iquique,Absoluta,7,16
247,Iquique,Ponderada,7,17
248,La Serena,Absoluta,7,14
249,La Serena,Ponderada,7,8
250,Coquimbo Unido,Absoluta,7,18
251,Coquimbo Unido,Ponderada,7,14
252,Everton,Absoluta,8,10
253,Everton,Ponderada,8,12
254,O'Higgins,Absoluta,8,6
255,O'Higgins,Ponderada,8,5
256,Antofagasta,Absoluta,8,5
257,Antofagasta,Ponderada,8,13
258,Audax Italiano,Absoluta,8,14
259,Audax Italiano,Ponderada,8,10
260,Santiago Wanderers,Absoluta,8,11
261,Santiago Wanderers,Ponderada,8,6
262,Huachipato,Absoluta,8,8
263,Huachipato,Ponderada,8,7
264,Unión Española,Absoluta,8,3
265,Unión Española,Ponderada,8,3
266,Curicó Unido,Absoluta,8,9
267,Curicó Unido,Ponderada,8,14
268,Colo-Colo,Absoluta,8,18
269,Colo-Colo,Ponderada,8,8
270,Unión La Calera,Absoluta,8,2
271,Unión La Calera,Ponderada,8,2
272,Universidad de Concepción,Absoluta,8,13
273,Universidad de Concepción,Ponderada,8,18
274,Palestino,Absoluta,8,4
275,Palestino,Ponderada,8,4
276,Universidad de Chile,Absoluta,8,7
277,Universidad de Chile,Ponderada,8,16
278,Cobresal,Absoluta,8,12
279,Cobresal,Ponderada,8,11
280,Universidad Católica,Absoluta,8,1
281,Universidad Católica,Ponderada,8,1
282,Iquique,Absoluta,8,16
283,Iquique,Ponderada,8,17
284,La Serena,Absoluta,8,15
285,La Serena,Ponderada,8,15
286,Coquimbo Unido,Absoluta,8,17
287,Coquimbo Unido,Ponderada,8,9
288,Everton,Absoluta,9,11
289,Everton,Ponderada,9,14
290,O'Higgins,Absoluta,9,8
291,O'Higgins,Ponderada,9,5
292,Antofagasta,Absoluta,9,5
293,Antofagasta,Ponderada,9,13
294,Audax Italiano,Absoluta,9,14
295,Audax Italiano,Ponderada,9,12
296,Santiago Wanderers,Absoluta,9,12
297,Santiago Wanderers,Ponderada,9,7
298,Huachipato,Absoluta,9,9
299,Huachipato,Ponderada,9,8
300,Unión Española,Absoluta,9,4
301,Unión Española,Ponderada,9,4
302,Curicó Unido,Absoluta,9,3
303,Curicó Unido,Ponderada,9,9
304,Colo-Colo,Absoluta,9,18
305,Colo-Colo,Ponderada,9,6
306,Unión La Calera,Absoluta,9,2
307,Unión La Calera,Ponderada,9,2
308,Universidad de Concepción,Absoluta,9,15
309,Universidad de Concepción,Ponderada,9,18
310,Palestino,Absoluta,9,7
311,Palestino,Ponderada,9,3
312,Universidad de Chile,Absoluta,9,10
313,Universidad de Chile,Ponderada,9,15
314,Cobresal,Absoluta,9,6
315,Cobresal,Ponderada,9,10
316,Universidad Católica,Absoluta,9,1
317,Universidad Católica,Ponderada,9,1
318,Iquique,Absoluta,9,13
319,Iquique,Ponderada,9,16
320,La Serena,Absoluta,9,17
321,La Serena,Ponderada,9,17
322,Coquimbo Unido,Absoluta,9,16
323,Coquimbo Unido,Ponderada,9,11
324,Everton,Absoluta,10,8
325,Everton,Ponderada,10,13
326,O'Higgins,Absoluta,10,10
327,O'Higgins,Ponderada,10,8
328,Antofagasta,Absoluta,10,6
329,Antofagasta,Ponderada,10,14
330,Audax Italiano,Absoluta,10,13
331,Audax Italiano,Ponderada,10,11
332,Santiago Wanderers,Absoluta,10,9
333,Santiago Wanderers,Ponderada,10,5
334,Huachipato,Absoluta,10,7
335,Huachipato,Ponderada,10,6
336,Unión Española,Absoluta,10,3
337,Unión Española,Ponderada,10,3
338,Curicó Unido,Absoluta,10,12
339,Curicó Unido,Ponderada,10,16
340,Colo-Colo,Absoluta,10,18
341,Colo-Colo,Ponderada,10,7
342,Unión La Calera,Absoluta,10,2
343,Unión La Calera,Ponderada,10,2
344,Universidad de Concepción,Absoluta,10,15
345,Universidad de Concepción,Ponderada,10,18
346,Palestino,Absoluta,10,5
347,Palestino,Ponderada,10,4
348,Universidad de Chile,Absoluta,10,4
349,Universidad de Chile,Ponderada,10,15
350,Cobresal,Absoluta,10,11
351,Cobresal,Ponderada,10,12
352,Universidad Católica,Absoluta,10,1
353,Universidad Católica,Ponderada,10,1
354,Iquique,Absoluta,10,17
355,Iquique,Ponderada,10,17
356,La Serena,Absoluta,10,14
357,La Serena,Ponderada,10,10
358,Coquimbo Unido,Absoluta,10,16
359,Coquimbo Unido,Ponderada,10,9
360,Everton,Absoluta,11,14
361,Everton,Ponderada,11,16
362,O'Higgins,Absoluta,11,9
363,O'Higgins,Ponderada,11,6
364,Antofagasta,Absoluta,11,8
365,Antofagasta,Ponderada,11,15
366,Audax Italiano,Absoluta,11,18
367,Audax Italiano,Ponderada,11,11
368,Santiago Wanderers,Absoluta,11,13
369,Santiago Wanderers,Ponderada,11,9
370,Huachipato,Absoluta,11,6
371,Huachipato,Ponderada,11,7
372,Unión Española,Absoluta,11,3
373,Unión Española,Ponderada,11,4
374,Curicó Unido,Absoluta,11,7
375,Curicó Unido,Ponderada,11,13
376,Colo-Colo,Absoluta,11,17
377,Colo-Colo,Ponderada,11,5
378,Unión La Calera,Absoluta,11,2
379,Unión La Calera,Ponderada,11,2
380,Universidad de Concepción,Absoluta,11,11
381,Universidad de Concepción,Ponderada,11,18
382,Palestino,Absoluta,11,4
383,Palestino,Ponderada,11,3
384,Universidad de Chile,Absoluta,11,5
385,Universidad de Chile,Ponderada,11,14
386,Cobresal,Absoluta,11,10
387,Cobresal,Ponderada,11,10
388,Universidad Católica,Absoluta,11,1
389,Universidad Católica,Ponderada,11,1
390,Iquique,Absoluta,11,12
391,Iquique,Ponderada,11,17
392,La Serena,Absoluta,11,16
393,La Serena,Ponderada,11,12
394,Coquimbo Unido,Absoluta,11,15
395,Coquimbo Unido,Ponderada,11,8
396,Everton,Absoluta,12,10
397,Everton,Ponderada,12,13
398,O'Higgins,Absoluta,12,8
399,O'Higgins,Ponderada,12,6
400,Antofagasta,Absoluta,12,9
401,Antofagasta,Ponderada,12,14
402,Audax Italiano,Absoluta,12,14
403,Audax Italiano,Ponderada,12,10
404,Santiago Wanderers,Absoluta,12,11
405,Santiago Wanderers,Ponderada,12,7
406,Huachipato,Absoluta,12,6
407,Huachipato,Ponderada,12,8
408,Unión Española,Absoluta,12,3
409,Unión Española,Ponderada,12,3
410,Curicó Unido,Absoluta,12,4
411,Curicó Unido,Ponderada,12,9
412,Colo-Colo,Absoluta,12,17
413,Colo-Colo,Ponderada,12,5
414,Unión La Calera,Absoluta,12,2
