,n_sim,team_1,team_2
0,1,Colo-Colo,Universidad de Concepción
1,2,Universidad de Concepción,Curicó Unido
2,3,Coquimbo Unido,Universidad de Chile
3,4,Colo-Colo,Everton
4,5,Iquique,Iquique
5,6,Universidad de Concepción,Universidad de Chile
6,7,Universidad de Concepción,Universidad de Chile
7,8,Universidad de Concepción,Universidad de Chile
8,9,Universidad de Concepción,Universidad de Chile
9,10,Colo-Colo,Iquique
10,11,Colo-Colo,Iquique
11,12,Colo-Colo,Iquique
12,13,Colo-Colo,Universidad de Chile
13,14,Iquique,Iquique
14,15,Universidad de Concepción,Universidad de Chile
15,16,Colo-Colo,Iquique
16,17,Colo-Colo,La Serena
17,18,Audax Italiano,Universidad de Chile
18,19,Colo-Colo,Universidad de Concepción
19,20,Universidad de Concepción,Universidad de Chile
20,21,Coquimbo Unido,Iquique
21,22,Colo-Colo,Universidad de Concepción
22,23,Universidad de Concepción,La Serena
23,24,Universidad de Concepción,Curicó Unido
24,25,Iquique,Universidad de Chile
25,26,Universidad de Concepción,Curicó Unido
26,27,Universidad de Concepción,Universidad de Chile
27,28,Coquimbo Unido,Universidad de Chile
28,29,Universidad de Concepción,Curicó Unido
29,30,Colo-Colo,Curicó Unido
30,31,Universidad de Concepción,Universidad de Chile
31,32,Audax Italiano,Curicó Unido
32,33,Colo-Colo,Universidad de Concepción
33,34,Colo-Colo,Iquique
34,35,Universidad de Concepción,Universidad de Chile
35,36,Colo-Colo,Iquique
36,37,Universidad de Concepción,Curicó Unido
37,38,Audax Italiano,Universidad de Chile
38,39,Coquimbo Unido,Universidad de Chile
39,40,Colo-Colo,Universidad de Concepción
40,41,Coquimbo Unido,Iquique
41,42,Iquique,Iquique
42,43,Universidad de Concepción,Curicó Unido
43,44,Iquique,Iquique
44,45,La Serena,Universidad de Chile
45,46,Iquique,Iquique
46,47,Coquimbo Unido,Universidad de Chile
47,48,Coquimbo Unido,Universidad de Concepción
48,49,Universidad de Concepción,Universidad de Chile
49,50,Colo-Colo,Universidad de Concepción
50,51,Colo-Colo,Universidad de Chile
51,52,Colo-Colo,Universidad de Concepción
52,53,Colo-Colo,Universidad de Concepción
53,54,Audax Italiano,Iquique
54,55,Audax Italiano,Iquique
55,56,Universidad de Concepción,Universidad de Chile
56,57,Universidad de Concepción,Curicó Unido
57,58,Iquique,Iquique
58,59,Universidad de Concepción,Universidad de Chile
59,60,Audax Italiano,Iquique
60,61,Universidad de Concepción,Universidad de Chile
61,62,Colo-Colo,Universidad de Chile
62,63,Colo-Colo,Universidad de Chile
63,64,Colo-Colo,Universidad de Concepción
64,65,Universidad de Concepción,Universidad de Chile
65,66,Coquimbo Unido,Iquique
66,67,Iquique,Curicó Unido
67,68,Audax Italiano,Universidad de Chile
68,69,Iquique,Iquique
69,70,Colo-Colo,Universidad de Chile
70,71,Audax Italiano,Iquique
71,72,Universidad de Concepción,Universidad de Chile
72,73,Colo-Colo,Iquique
73,74,Colo-Colo,Curicó Unido
74,75,Colo-Colo,Iquique
75,76,Coquimbo Unido,Universidad de Chile
76,77,Colo-Colo,Iquique
77,78,Coquimbo Unido,Universidad de Chile
78,79,Universidad de Concepción,Curicó Unido
79,80,Coquimbo Unido,Universidad de Chile
80,81,Colo-Colo,Universidad de Concepción
81,82,Coquimbo Unido,Universidad de Chile
82,83,Universidad de Concepción,Universidad de Chile
83,84,La Serena,Iquique
84,85,Colo-Colo,Iquique
85,86,Universidad de Concepción,Antofagasta
86,87,Iquique,Iquique
87,88,Colo-Colo,Universidad de Chile
88,89,Colo-Colo,Universidad de Chile
89,90,Coquimbo Unido,Universidad de Concepción
